dma_name,geometry,pipe_size
DM-16-02-02-01,POINT (675731.9049001058 1540396.773099997),200.0
DM-16-02-01-02,POINT (675593.1244001067 1541150.713199997),300.0
DM-16-02-01-01,POINT (675509.2687001061 1541600.358099998),300.0
DM-15-08-06-02,POINT (673247.2633000971 1541197.648199996),400.0
DM-15-08-06-01,POINT (673699.1312001001 1541000.400199997),300.0
DM-15-08-05-02,POINT (673630.4981000996 1541979.525099997),0.0
DM-15-08-05-01,POINT (673252.7889000988 1541213.954099997),300.0
DM-15-08-04-01,POINT (670249.4009000889 1542011.947899996),300.0
DM-15-08-02-01,POINT (671415.9131000917 1540242.650099996),300.0
DM-15-08-01-01,POINT (672301.2220000953 1540006.816999997),300.0
DM-15-07-06-01,POINT (671069.0881000928 1540319.554499999),300.0
DM-15-07-05-01,POINT (672299.4626000966 1539979.282099998),300.0
DM-15-07-04-01,POINT (672332.5968000952 1538371.394399998),300.0
DM-15-07-03-01,POINT (669480.9958000873 1540313.101199996),300.0
DM-15-07-02-01,POINT (669134.3011000863 1538480.511199997),300.0
DM-15-06-04-01,POINT (668734.8888000847 1537059.626099997),300.0
DM-15-06-02-01,POINT (670159.49300009 1535929.928299997),300.0
DM-15-06-01-01,POINT (669658.8207000887 1536114.528099999),300.0
DM-15-05-08-01,POINT (670731.2492000932 1535565.262699997),300.0
DM-15-05-07-01,POINT (668791.9715000859 1536377.717199998),300.0
DM-15-05-05-01,POINT (669490.4219000898 1533581.306099996),300.0
DM-15-05-04-01,POINT (669508.3701000874 1533553.084399998),300.0
DM-15-05-03-01,POINT (667555.1962000828 1534745.056099998),0.0
DM-15-05-02-01,POINT (667602.1116000833 1532083.022499997),300.0
DM-15-05-01-01,POINT (667061.5112000825 1532328.921699998),300.0
DM-15-04-04-02,POINT (668528.3857000861 1531519.119699996),150.0
DM-15-04-04-01,POINT (667987.7084000851 1531871.008799997),300.0
DM-15-04-02-02,POINT (666685.1126000808 1530843.417799998),300.0
DM-15-04-02-01,POINT (667658.9527000835 1530552.862699998),300.0
DM-15-04-01-01,POINT (667102.7465000821 1529488.4874),300.0
DM-15-03-06-01,POINT (666583.8189000799 1530658.876799997),300.0
DM-15-03-05-01,POINT (666334.7459000789 1529538.628999998),300.0
DM-15-03-04-01,POINT (664657.1840000759 1529707.331399999),300.0
DM-15-03-03-01,POINT (663646.7298000725 1528198.876899998),300.0
DM-15-03-02-01,POINT (665711.9923000787 1529524.908299996),300.0
DM-15-03-01-01,POINT (665443.3357000772 1529041.253699998),150.0
DM-15-02-05-01,POINT (664476.4531000744 1527287.690099997),300.0
DM-15-02-04-01,POINT (665256.541500077 1526849.588999999),300.0
DM-15-02-03-01,POINT (664499.8770000755 1527290.982299997),300.0
DM-15-02-02-01,POINT (664170.4818000761 1527695.908899998),300.0
DM-15-02-01-01,POINT (665821.21430008 1527225.299099998),300.0
DM-15-01-06-01,POINT (667094.9031000801 1529449.722699997),300.0
DM-15-01-05-01,POINT (665744.0746000786 1526086.527099998),0.0
DM-15-01-04-02,POINT (665778.1790000778 1526775.099799999),300.0
DM-15-01-04-01,POINT (666231.013500081 1528809.352899997),100.0
DM-15-01-03-01,POINT (665247.4775000782 1526829.566699998),300.0
DM-15-01-02-01,POINT (664475.9925000756 1526762.3978),300.0
DM-15-01-01-01,POINT (664455.4822000769 1526767.1168),300.0
DM-14-18-04-03,POINT (661802.1642000722 1506237.854599996),0.0
DM-14-18-04-02,POINT (660890.4409000674 1506344.6751),0.0
DM-14-17-06-01,POINT (660921.9160000682 1509611.6959),0.0
DM-14-17-04-02,POINT (661874.7758000697 1509159.676599999),300.0
DM-14-17-04-01,POINT (662152.1122000702 1508782.526899998),
DM-14-17-03-02,POINT (661880.0842000707 1509176.460999996),0.0
DM-14-17-03-01,POINT (661888.3209000699 1509603.718099997),
DM-14-11-12-01,POINT (662987.3634000735 1503798.011599998),0.0
DM-14-11-11-01,POINT (656921.8450000577 1506884.750399997),300.0
DM-14-11-10-01,POINT (659650.3210000675 1501956.542999997),0.0
DM-14-11-02-01,POINT (670336.8372000922 1503360.097599997),300.0
DM-14-11-01-02,POINT (670338.1282000922 1503396.953799999),300.0
DM-14-11-01-01,POINT (671091.7112000928 1503587.626399998),0.0
DM-14-10-06-01,POINT (663884.719900075 1511471.428799998),300.0
DM-14-10-04-02,POINT (662451.5628000707 1512394.024099998),0.0
DM-14-10-03-02,POINT (661696.5422000686 1513385.750599998),300.0
DM-14-10-03-01,POINT (661697.0757000687 1513356.741199997),300.0
DM-14-10-02-01,POINT (660777.8628000665 1514363.740899998),300.0
DM-14-10-01-01,POINT (660949.6828000681 1513410.326599998),300.0
DM-14-09-03-01,POINT (663850.1219000751 1511459.0982),300.0
DM-14-09-02-03,POINT (664265.4735000767 1510538.336999997),0.0
DM-14-09-02-02,POINT (664682.8276000752 1509466.399299997),300.0
DM-14-09-02-01,POINT (662245.0128000701 1510401.916399997),0.0
DM-14-09-01-01,POINT (662594.4240000718 1512258.735699997),300.0
DM-14-07-06-01,POINT (664284.6625000736 1503771.250499996),300.0
DM-14-07-03-03,POINT (667140.0472000832 1504357.285199997),0.0
DM-14-07-03-01,POINT (667638.1582000849 1505222.828099996),300.0
DM-14-07-01-02,POINT (665284.900500079 1508066.582099997),300.0
DM-14-06-06-01,POINT (669417.653300088 1513086.995899997),0.0
DM-14-06-04-04,POINT (665118.6669000755 1508476.112899998),0.0
DM-14-06-04-01,POINT (664677.2108000747 1510706.640599999),300.0
DM-14-06-02-02,POINT (665413.4146000772 1511045.795899998),300.0
DM-14-06-01-02,POINT (664622.3780000745 1511503.911699997),300.0
DM-14-05-07-01,POINT (661763.5086000686 1512795.111699998),300.0
DM-14-05-06-02,POINT (660924.4686000668 1509627.725599998),300.0
DM-14-05-06-01,POINT (659934.1418000653 1509628.495099999),300.0
DM-14-05-05-01,POINT (661548.6170000688 1512940.893199999),0.0
DM-14-05-02-01,POINT (659058.1370000629 1512807.573799996),300.0
DM-14-05-01-02,POINT (659042.8008000643 1512857.585199998),300.0
DM-13-07-06-03,POINT (676714.107200111 1508459.191399999),300.0
DM-13-07-06-02,POINT (676903.1955001103 1508789.777599997),300.0
