	1	1866.5
	2	1832
	3	1782
	4	1809.5
	5	1859
	6	1880.5
	7	2024
	8	2003
	9	1942.5
	10	1932.5
	11	2015
	12	2022.5
	13	1895
	14	1836
	15	1785.5
	16	1805
	17	1956
	18	1819.5
	19	1833.5
	20	1821
	21	1785
	22	1497
	23	1373
UZ0111	0	358
	1	291
	2	286
	3	288
	4	289.5
	5	380.5
	6	511.5
	7	665.5
	8	720
	9	720.5
	10	680
	11	624
	12	558.5
	13	557.5
	14	539
	15	537.5
	16	537.5
	17	582
	18	655
	19	638
	20	624.5
	21	602
	22	509
	23	433
UZ0108	0	365
	1	291
	2	286
	3	288
	4	289.5
	5	380.5
	6	511.5
	7	665.5
	8	720
	9	720.5
	10	680
	11	624
	12	558.5
	13	557.5
	14	539
	15	537.5
	16	537.5
	17	582
	18	655
	19	638
	20	624.5
	21	598.5
	22	509
	23	433
UZ0106	0	1043
	1	1007
	2	970.5
	3	956.5
	4	956.5
	5	1326
	6	1514
	7	1891
	8	2094
	9	2362.5
	10	2297
	11	2260.5
	12	2108.5
	13	2065
	14	2036
	15	2028.5
	16	1992.5
	17	2232
	18	2137.5
	19	2065
	20	2101
	21	2145
	22	2072
	23	1594
UZ0102	0	1455
	1	467
	2	531.5
	3	625
	4	636.5
	5	1086.5
	6	1504
	7	1666
	8	1693.5
	9	1612
	10	1738
	11	1561
	12	1541.5
	13	1529
	14	1540
	15	1519.5
	16	1509.5
	17	1543.5
	18	1740
	19	1748.5
	20	1761.5
	21	1733.5
	22	1563
	23	1534
U251	0	798.5
	1	896.5
	2	1197
	3	964
	4	899.5
	5	961
	6	1068
	7	1746
	8	2051
	9	2082
	10	2000
	11	1566.5
	12	1325
	13	1348.5
	14	1282
	15	1245.5
	16	1237
	17	1495
	18	1786.5
	19	1879.5
	20	1805.5
	21	1813
	22	1285.5
	23	827
U248	0	920.5
	1	890.6666667
	2	901
	3	913
	4	900
	5	906.6666667
	6	1095.333333
	7	1297.333333
	8	1291.666667
	9	1260
	10	1187.333333
	11	1141.666667
	12	1088
	13	1065
	14	1055
	15	982.3333333
	16	1008.666667
	17	905.3333333
	18	949.3333333
	19	993
	20	955.5
	21	980
	22	916
	23	811.5
U247	0	3507
	1	2985
	2	2941.5
	3	2825.5
	4	2796.5
	5	2753
	6	3115.5
	7	4159
	8	4666
	9	5318.5
	10	5449
	11	5289.5
	12	5333
	13	4767.5
	14	4246
	15	4173.5
	16	4145
	17	4130
	18	4753
	19	4767.5
	20	4825.5
	21	4767.5
	22	4347
	23	3690.666667
U245	0	840
	1	884
	2	840.5
	3	804
	4	782.5
	5	840
	6	1079.5
	7	1333
	8	1355
	9	1369.5
	10	1391
	11	1239
	12	1050.5
	13	1050.5
	14	1057.5
	15	1065
	16	1028.5
	17	1174
	18	1304.5
	19	1268
	20	1253.5
	21	1319
	22	1087
	23	869
U235	0	1056
	1	1016.5
	2	997
	3	998
	4	981.5
	5	1124.5
	6	1412.5
	7	1595
	8	1632
	9	1632
	10	1530
	11	1462
	12	1345
	13	1361
	14	1413
	15	1372
	16	1379.5
	17	1334
	18	1527
	19	1503.5
	20	1478
	21	1487.5
	22	1353
	23	1205
U233	0	4913
	1	4907
	2	4809.666667
	3	4817.333333
	4	4836
	5	4863.333333
	6	7255.666667
	7	8546.666667
	8	8718
	9	8681
	10	8268
	11	7764.666667
	12	7095
	13	6990
	14	6878.666667
	15	6619
	16	6694.333333
	17	6730.333333
	18	7020.666667
	19	6983.333333
	20	7155
	21	7064.5
	22	6369.5
	23	5164.5
U232	0	3202.5
	1	3132.333333
	2	3195.333333
	3	3163.666667
	4	3174
	5	3184.333333
	6	4245
	7	5102
	8	5142.333333
	9	5066
	10	4777
	11	4484
	12	4294
	13	4232.333333
	14	4140
	15	3994
	16	3970
	17	3843.666667
	18	3992.666667
	19	4031
	20	3992
	21	3963.666667
	22	3666
	23	3051.5
U231	0	3010
	1	3092.5
	2	3128.666667
	3	3135.666667
	4	3126.333333
	5	3062.666667
	6	5823.666667
	7	6200.666667
	8	6268.666667
	9	6289.666667
	10	6251.333333
	11	5920
	12	5012.666667
	13	4971.333333
	14	4949.666667
	15	4941.666667
	16	4941.333333
	17	5952
	18	6212.333333
	19	6210.666667
	20	6203.333333
	21	6234
