,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG
105,DM-55-07-06-03,,DM-54-09-07-02,,DM-11-10-70-01,,DM-17-06-04-01
106,DM-55-09-01-01,,DM-56-01-01-01,,DM-11-10-70-02,,DM-17-06-04-02
107,DM-55-09-02-01,,DM-56-01-02-01,,DM-11-10-71-01,,DM-17-06-04-03
108,DM-55-09-02-02,,DM-56-01-03-01,,DM-11-10-71-02,,DM-17-06-05-01
109,DM-55-09-04-01,,DM-56-01-03-02,,DM-11-10-72-01,,DM-17-06-06-01
110,DM-55-09-04-02,,DM-56-01-04-01,,DM-11-10-72-02,,DM-17-06-07-01
111,,,DM-56-01-05-01,,DM-11-10-72-03,,DM-17-06-08-01
112,,,DM-56-02-01-01,,DM-11-10-73-02,,DM-17-06-08-02
113,,,DM-56-02-02-01,,DM-11-10-73-03,,DM-17-07-03-01
114,,,DM-56-02-02-02,,DM-11-10-73-04,,DM-17-07-03-02
115,,,DM-56-02-03-01,,,,DM-17-07-04-01
116,,,DM-56-02-04-01,,,,DM-17-07-04-02
117,,,DM-56-02-05-01,,,,DM-17-07-07-01
118,,,DM-56-02-05-02,,,,
119,,,DM-56-02-06-01,,,,
120,,,DM-56-02-07-01,,,,
121,,,DM-56-02-08-01,,,,
122,,,DM-56-02-09-01,,,,
123,,,DM-56-03-01-01,,,,
124,,,DM-56-03-02-01,,,,
125,,,DM-56-03-03-01,,,,
126,,,DM-56-03-04-01,,,,
127,,,DM-56-03-05-01,,,,
128,,,DM-56-03-06-01,,,,
129,,,DM-56-03-06-02,,,,
130,,,DM-56-04-01-01,,,,
131,,,DM-56-04-03-01,,,,
132,,,DM-56-04-05-01,,,,
133,,,DM-56-05-01-01,,,,
134,,,DM-56-05-01-02,,,,
135,,,DM-56-05-01-03,,,,
136,,,DM-56-05-02-01,,,,
137,,,DM-56-05-03-01,,,,
138,,,DM-56-05-04-01,,,,
139,,,DM-56-05-05-01,,,,
140,,,DM-56-05-06-01,,,,
141,,,DM-56-05-07-01,,,,
142,,,DM-56-06-01-01,,,,
143,,,DM-56-06-02-01,,,,
144,,,DM-56-06-03-01,,,,
145,,,DM-56-06-03-02,,,,
146,,,DM-56-06-04-01,,,,
147,,,DM-56-06-05-01,,,,
148,,,DM-56-07-01-01,,,,
149,,,DM-56-07-02-01,,,,
150,,,DM-56-07-03-01,,,,
151,,,DM-56-07-04-01,,,,
152,,,DM-56-07-05-01,,,,
153,,,DM-56-07-05-02,,,,
