,BANGPLEE,LADKRABUNG,MAHASAWAT,MINBURI,PETKASEM,RATBURANA,SUMRONG,BK03,KLONGTAEY,PAHONYOTHIN,THAPRA,TONBURI,LADPRAW,LUMPINEE,BK04,SAMSEN
68,DM-17-11-01-03,DM-55-05-04-02,DM-54-04-02-01,DM-53-05-02-01,DM-11-10-05-02,DM-14-07-06-01,DM-17-01-02-01,DM-15-05-01-01,DM-07-05-15-01,,DM-02-15-03-01,,DM-12-03-04-02,DM-05-05-07-02,DM-16-02-03-02,DM-06-05-04-02
69,DM-17-11-01-04,DM-55-05-05-01,DM-54-04-02-02,DM-53-05-03-01,DM-11-10-06-01,DM-14-07-07-01,DM-17-01-02-02,DM-15-05-02-01,DM-07-06-08-01,,DM-02-15-04-01,,DM-12-03-05-01,DM-05-05-08-01,DM-16-02-04-01,DM-06-05-05-02
70,DM-17-11-02-01,DM-55-06-07-01,DM-54-04-03-01,DM-53-05-03-02,DM-11-10-07-01,DM-14-07-08-01,DM-17-01-03-01,DM-15-05-03-01,DM-07-06-09-01,,DM-02-15-04-02,,DM-12-03-06-01,DM-05-05-08-02,DM-16-02-04-02,DM-06-05-05-03
71,DM-17-11-02-02,DM-55-07-01-01,DM-54-04-03-02,DM-53-05-03-03,DM-11-10-07-02,DM-14-09-01-01,DM-17-01-03-02,DM-15-05-06-01,DM-07-06-10-01,,DM-02-15-05-01,,DM-12-03-06-02,DM-05-05-09-01,DM-16-02-05-01,DM-06-05-06-01
72,DM-17-11-02-03,DM-55-07-03-01,DM-54-04-03-03,DM-53-05-03-04,DM-11-10-08-01,DM-14-09-02-01,DM-17-01-04-01,DM-15-05-07-01,DM-13-01-01-01,,DM-02-15-05-02,,DM-12-03-07-01,DM-05-05-09-02,DM-16-02-05-02,DM-06-05-07-01
73,DM-17-11-02-04,DM-55-07-04-02,DM-54-04-04-01,DM-53-05-04-01,DM-11-10-11-02,DM-14-09-02-02,DM-17-01-05-01,DM-15-05-08-01,DM-13-01-01-02,,DM-02-16-01-01,,DM-12-03-08-01,DM-05-05-09-03,DM-16-03-01-01,DM-06-05-07-02
74,DM-17-11-02-05,DM-55-07-05-01,DM-54-04-04-02,DM-53-05-05-01,DM-11-10-12-01,DM-14-09-02-03,DM-17-01-05-02,DM-15-05-09-01,DM-13-01-02-01,,DM-02-16-02-01,,DM-12-03-08-02,DM-05-05-09-04,DM-16-03-02-01,DM-06-05-08-01
75,DM-17-11-03-01,DM-55-07-05-02,DM-54-04-04-03,DM-53-05-06-01,DM-11-10-12-02,DM-14-09-03-01,DM-17-01-06-01,DM-15-06-01-01,DM-13-01-03-01,,DM-02-16-02-02,,DM-12-03-09-01,DM-05-05-10-01,DM-16-03-02-02,DM-06-05-09-01
76,DM-17-11-03-02,DM-55-07-06-02,DM-54-04-04-04,DM-53-05-07-01,DM-11-10-13-01,DM-14-10-01-01,DM-17-01-06-02,DM-15-06-02-01,DM-13-01-03-02,,DM-02-16-03-01,,DM-12-03-09-02,DM-05-05-11-01,DM-16-03-04-01,DM-06-05-09-02
77,DM-17-11-03-03,DM-55-07-06-04,DM-54-05-01-01,DM-53-05-07-03,DM-11-10-14-01,DM-14-10-02-01,DM-17-01-07-02,DM-15-06-04-01,DM-13-01-03-04,,DM-02-16-03-02,,DM-12-03-10-01,DM-05-05-12-01,DM-16-03-04-02,DM-06-05-09-03
78,DM-17-11-04-01,DM-55-07-06-05,DM-54-05-01-02,DM-53-05-10-02,DM-11-10-14-02,DM-14-10-03-01,DM-17-01-08-01,DM-15-07-02-01,DM-13-01-04-02,,DM-02-16-05-01,,DM-12-03-11-01,DM-05-05-12-02,DM-16-03-05-01,DM-06-05-10-01
79,DM-17-11-04-02,DM-55-07-06-06,DM-54-05-02-01,DM-53-05-11-02,DM-11-10-15-02,DM-14-10-03-02,DM-17-01-08-02,DM-15-07-03-01,DM-13-01-04-03,,DM-11-03-01-01,,DM-12-04-01-01,DM-05-05-12-03,DM-16-03-05-02,DM-06-05-10-02
